#Brulandsfoss ndf., 84.21.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2018-09-19 11:00:00Z;137,2576;0;3
2018-09-20 11:00:00Z;144,3138;0;3
2018-09-21 11:00:00Z;156,3736;0;3
2018-09-22 11:00:00Z;184,5387;0;3
2018-09-23 11:00:00Z;175,5662;0;3
2018-09-24 11:00:00Z;143,9756;0;3
2018-09-25 11:00:00Z;126,411;0;3
2018-09-26 11:00:00Z;195,4514;0;3
2018-09-27 11:00:00Z;189,0182;0;3
2018-09-28 11:00:00Z;166,147;0;3
2018-09-29 11:00:00Z;166,8084;0;3
2018-09-30 11:00:00Z;196,1174;0;3
2018-10-01 11:00:00Z;159,4922;0;3
2018-10-02 11:00:00Z;124,8149;0;3
2018-10-03 11:00:00Z;102,5171;0;3
2018-10-04 11:00:00Z;95,38;0;3
2018-10-05 11:00:00Z;133,7058;0;3
2018-10-06 11:00:00Z;135,6302;0;3
2018-10-07 11:00:00Z;111,9698;0;3
2018-10-08 11:00:00Z;106,2994;0;3
2018-10-09 11:00:00Z;143,4678;0;3
2018-10-10 11:00:00Z;176,0201;0;3
2018-10-11 11:00:00Z;146,6149;0;3
2018-10-12 11:00:00Z;121,7499;0;3
2018-10-13 11:00:00Z;153,1568;0;3
2018-10-14 11:00:00Z;178,9581;0;3
2018-10-15 11:00:00Z;179,1095;0;3
2018-10-16 11:00:00Z;143,7666;0;3
2018-10-17 11:00:00Z;119,3559;0;3
2018-10-18 11:00:00Z;115,4341;0;3
2018-10-19 11:00:00Z;103,6779;0;3
2018-10-20 11:00:00Z;92,6448;0;3
2018-10-21 11:00:00Z;126,1509;0;3
2018-10-22 11:00:00Z;144,1965;0;3
2018-10-23 11:00:00Z;155,7227;0;3
2018-10-24 11:00:00Z;123,0916;0;3
2018-10-25 11:00:00Z;108,0582;0;3
2018-10-26 11:00:00Z;93,16451;0;3
2018-10-27 11:00:00Z;78,69592;0;3
2018-10-28 11:00:00Z;65,64577;0;3
2018-10-29 11:00:00Z;55,5659;0;3
2018-10-30 11:00:00Z;47,66832;0;3
2018-10-31 11:00:00Z;41,91028;0;3
2018-11-01 11:00:00Z;38,72442;0;3
2018-11-02 11:00:00Z;45,03889;0;3
2018-11-03 11:00:00Z;43,76718;0;3
2018-11-04 11:00:00Z;43,5572;0;3
2018-11-05 11:00:00Z;41,70829;0;3
2018-11-06 11:00:00Z;40,2096;0;3
2018-11-07 11:00:00Z;39,27272;0;3
2018-11-08 11:00:00Z;37,68031;0;3
2018-11-09 11:00:00Z;36,11916;0;3
2018-11-10 11:00:00Z;35,19419;0;3
2018-11-11 11:00:00Z;32,40639;0;3
2018-11-12 11:00:00Z;34,19132;0;3
2018-11-13 11:00:00Z;36,27118;0;3
2018-11-14 11:00:00Z;36,72567;0;3
2018-11-15 11:00:00Z;37,19923;0;3
2018-11-16 11:00:00Z;34,65916;0;3
2018-11-17 11:00:00Z;33,16001;2;3
2018-11-18 11:00:00Z;31,70251;2;3
2018-11-19 11:00:00Z;30,26972;2;3
2018-11-20 11:00:00Z;28,86193;2;3
2018-11-21 11:00:00Z;27,3989;2;3
2018-11-22 11:00:00Z;26,04355;2;3
2018-11-23 11:00:00Z;24,71414;2;3
2018-11-24 11:00:00Z;23,44372;0;3
2018-11-25 11:00:00Z;21,45568;0;3
2018-11-26 11:00:00Z;19,94086;0;3
2018-11-27 11:00:00Z;15,09993;0;3
2018-11-28 11:00:00Z;14,90975;0;3
2018-11-29 11:00:00Z;16,76463;0;3
2018-11-30 11:00:00Z;17,6289;0;3
2018-12-01 11:00:00Z;20,14453;0;3
2018-12-02 11:00:00Z;16,34295;0;3
2018-12-03 11:00:00Z;17,76515;0;3
2018-12-04 11:00:00Z;17,57333;0;3
2018-12-05 11:00:00Z;14,87955;0;3
2018-12-06 11:00:00Z;14,26259;0;3
2018-12-07 11:00:00Z;14,04999;0;3
2018-12-08 11:00:00Z;15,82198;0;3
2018-12-09 11:00:00Z;13,86906;0;3
2018-12-10 11:00:00Z;14,0027;0;3
2018-12-11 11:00:00Z;13,47786;0;3
2018-12-12 11:00:00Z;13,93446;0;3
2018-12-13 11:00:00Z;18,34407;0;3
2018-12-14 11:00:00Z;18,10184;0;3
2018-12-15 11:00:00Z;17,49444;0;3
2018-12-16 11:00:00Z;15,42682;0;3
2018-12-17 11:00:00Z;15,06357;0;3
2018-12-18 11:00:00Z;15,27584;0;3
2018-12-19 11:00:00Z;14,54634;0;3
2018-12-20 11:00:00Z;12,79425;0;3
2018-12-21 11:00:00Z;11,94316;0;3
2018-12-22 11:00:00Z;10,99952;0;3
2018-12-23 11:00:00Z;10,13966;0;3
2018-12-24 11:00:00Z;9,481954;0;3
2018-12-25 11:00:00Z;14,93853;0;3
2018-12-26 11:00:00Z;16,06635;0;3
2018-12-27 11:00:00Z;23,81384;0;3
2018-12-28 11:00:00Z;28,40512;0;3
2018-12-29 11:00:00Z;29,29212;0;3
2018-12-30 11:00:00Z;27,05515;0;3
2018-12-31 11:00:00Z;56,82872;0;3
2019-01-01 11:00:00Z;81,47791;0;3
2019-01-02 11:00:00Z;54,70207;0;3
2019-01-03 11:00:00Z;46,10877;0;3
2019-01-04 11:00:00Z;49,33387;0;3
2019-01-05 11:00:00Z;54,63321;0;3
2019-01-06 11:00:00Z;50,62366;0;3
2019-01-07 11:00:00Z;47,41618;0;3
2019-01-08 11:00:00Z;41,3967;0;3
2019-01-09 11:00:00Z;35,75314;0;3
2019-01-10 11:00:00Z;33,41391;0;3
2019-01-11 11:00:00Z;39,22369;0;3
2019-01-12 11:00:00Z;32,79794;0;3
2019-01-13 11:00:00Z;30,97082;0;3
2019-01-14 11:00:00Z;29,06678;0;3
2019-01-15 11:00:00Z;27,79654;0;3
2019-01-16 11:00:00Z;27,29086;0;3
2019-01-17 11:00:00Z;25,21187;0;3
2019-01-18 11:00:00Z;23,82421;0;3
2019-01-19 11:00:00Z;22,76453;0;3
2019-01-20 11:00:00Z;21,23646;0;3
2019-01-21 11:00:00Z;20,54471;0;3
2019-01-22 11:00:00Z;19,80376;0;3
2019-01-23 11:00:00Z;19,09508;0;3
2019-01-24 11:00:00Z;17,79508;0;3
2019-01-25 11:00:00Z;17,63604;0;3
2019-01-26 11:00:00Z;15,38996;0;3
2019-01-27 11:00:00Z;14,23168;0;3
2019-01-28 11:00:00Z;14,86453;0;3
2019-01-29 11:00:00Z;14,47825;0;3
2019-01-30 11:00:00Z;13,62899;0;3
2019-01-31 11:00:00Z;13,2668;0;3
2019-02-01 11:00:00Z;11,92647;0;3
2019-02-02 11:00:00Z;7,702922;0;3
2019-02-03 11:00:00Z;4,758197;0;3
2019-02-04 11:00:00Z;4,540703;0;3
2019-02-05 11:00:00Z;4,37852;0;3
2019-02-06 11:00:00Z;4,69264;0;3
2019-02-07 11:00:00Z;4,739935;0;3
2019-02-08 11:00:00Z;4,727996;0;3
2019-02-09 11:00:00Z;3,926857;0;3
2019-02-10 11:00:00Z;3,85127;0;3
2019-02-11 11:00:00Z;4,030927;0;3
2019-02-12 11:00:00Z;4,784541;0;3
2019-02-13 11:00:00Z;22,39554;0;3
2019-02-14 11:00:00Z;35,36874;0;3
2019-02-15 11:00:00Z;43,17639;0;3
2019-02-16 11:00:00Z;38,08344;0;3
2019-02-17 11:00:00Z;34,50536;0;3
2019-02-18 11:00:00Z;38,36437;0;3
2019-02-19 11:00:00Z;42,83226;0;3
2019-02-20 11:00:00Z;34,86282;0;3
2019-02-21 11:00:00Z;33,31804;0;3
2019-02-22 11:00:00Z;35,95974;0;3
2019-02-23 11:00:00Z;38,84652;0;3
2019-02-24 11:00:00Z;45,15654;0;3
2019-02-25 11:00:00Z;40,98531;0;3
2019-02-26 11:00:00Z;39,12156;0;3
2019-02-27 11:00:00Z;37,63673;0;3
2019-02-28 11:00:00Z;36,07178;0;3
2019-03-01 11:00:00Z;33,07293;0;3
2019-03-02 11:00:00Z;29,63539;0;3
2019-03-03 11:00:00Z;28,17353;0;3
2019-03-04 11:00:00Z;27,05774;0;3
2019-03-05 11:00:00Z;26,69761;0;3
2019-03-06 11:00:00Z;26,4912;0;3
2019-03-07 11:00:00Z;26,11699;0;3
2019-03-08 11:00:00Z;25,28903;0;3
2019-03-09 11:00:00Z;23,22321;0;3
2019-03-10 11:00:00Z;21,90697;0;3
2019-03-11 11:00:00Z;21,79042;0;3
2019-03-12 11:00:00Z;21,82614;0;3
2019-03-13 11:00:00Z;20,72495;0;3
2019-03-14 11:00:00Z;20,37053;0;3
2019-03-15 11:00:00Z;19,46038;0;3
2019-03-16 11:00:00Z;18,77294;0;3
2019-03-17 11:00:00Z;18,30282;0;3
2019-03-18 11:00:00Z;17,4731;0;3
2019-03-19 11:00:00Z;17,30004;0;3
2019-03-20 11:00:00Z;20,89598;0;3
2019-03-21 11:00:00Z;48,00562;0;3
2019-03-22 11:00:00Z;36,28297;0;3
2019-03-23 11:00:00Z;52,59559;0;3
2019-03-24 11:00:00Z;43,57997;0;3
2019-03-25 11:00:00Z;37,94585;0;3
2019-03-26 11:00:00Z;33,18359;0;3
2019-03-27 11:00:00Z;32,85232;0;3
2019-03-28 11:00:00Z;41,03635;0;3
2019-03-29 11:00:00Z;87,58545;0;3
2019-03-30 11:00:00Z;83,52874;0;3
2019-03-31 11:00:00Z;62,99534;0;3
2019-04-01 11:00:00Z;52,19717;0;3
2019-04-02 11:00:00Z;45,94654;0;3
2019-04-03 11:00:00Z;41,97463;0;3
2019-04-04 11:00:00Z;38,64222;0;3
2019-04-05 11:00:00Z;37,90773;0;3
2019-04-06 11:00:00Z;37,07283;0;3
2019-04-07 11:00:00Z;35,84839;0;3
2019-04-08 11:00:00Z;33,73402;0;3
2019-04-09 11:00:00Z;31,70538;0;3
2019-04-10 11:00:00Z;31,05813;0;3
2019-04-11 11:00:00Z;30,12998;0;3
2019-04-12 11:00:00Z;28,93293;0;3
2019-04-13 11:00:00Z;26,67443;0;3
2019-04-14 11:00:00Z;25,75528;0;3
2019-04-15 11:00:00Z;25,0735;0;3
2019-04-16 11:00:00Z;24,57825;0;3
2019-04-17 11:00:00Z;24,24704;0;3
2019-04-18 11:00:00Z;24,12943;0;3
2019-04-19 11:00:00Z;24,31712;0;3
2019-04-20 11:00:00Z;25,30405;0;3
2019-04-21 11:00:00Z;29,69256;0;3
2019-04-22 11:00:00Z;33,26266;0;3
2019-04-23 11:00:00Z;35,5024;0;3
2019-04-24 11:00:00Z;37,76774;0;3
2019-04-25 11:00:00Z;43,69589;0;3
2019-04-26 11:00:00Z;49,32055;0;3
2019-04-27 11:00:00Z;52,19513;0;3
2019-04-28 11:00:00Z;54,51482;0;3
2019-04-29 11:00:00Z;54,19358;0;3
2019-04-30 11:00:00Z;53,05145;0;3
2019-05-01 11:00:00Z;51,92958;0;3
2019-05-02 11:00:00Z;49,78034;0;3
2019-05-03 11:00:00Z;46,48909;0;3
2019-05-04 11:00:00Z;42,55146;0;3
2019-05-05 11:00:00Z;39,8712;0;3
2019-05-06 11:00:00Z;37,21118;0;3
2019-05-07 11:00:00Z;34,58653;0;3
2019-05-08 11:00:00Z;32,7507;0;3
2019-05-09 11:00:00Z;31,11991;0;3
2019-05-10 11:00:00Z;31,48101;0;3
2019-05-11 11:00:00Z;31,84121;0;3
2019-05-12 11:00:00Z;29,77667;0;3
2019-05-13 11:00:00Z;29,10397;0;3
2019-05-14 11:00:00Z;28,0701;0;3
2019-05-15 11:00:00Z;26,96003;0;3
2019-05-16 11:00:00Z;26,80316;0;3
2019-05-17 11:00:00Z;27,32027;0;3
2019-05-18 11:00:00Z;28,28752;0;3
2019-05-19 11:00:00Z;30,52125;0;3
2019-05-20 11:00:00Z;33,20058;0;3
2019-05-21 11:00:00Z;34,20999;0;3
2019-05-22 11:00:00Z;34,96288;0;3
2019-05-23 11:00:00Z;39,4872;0;3
2019-05-24 11:00:00Z;40,53327;0;3
2019-05-25 11:00:00Z;39,11654;0;3
2019-05-26 11:00:00Z;37,61985;0;3
2019-05-27 11:00:00Z;36,03141;0;3
2019-05-28 11:00:00Z;34,93537;0;3
2019-05-29 11:00:00Z;34,31302;0;3
2019-05-30 11:00:00Z;39,25348;0;3
2019-05-31 11:00:00Z;50,99041;0;3
2019-06-01 11:00:00Z;53,72747;0;3
2019-06-02 11:00:00Z;53,36292;0;3
2019-06-03 11:00:00Z;57,7205;0;3
2019-06-04 11:00:00Z;60,79649;0;3
2019-06-05 11:00:00Z;64,58105;0;3
2019-06-06 11:00:00Z;61,37083;0;3
2019-06-07 11:00:00Z;62,71006;0;3
2019-06-08 11:00:00Z;62,17796;0;3
2019-06-09 11:00:00Z;59,54134;0;3
2019-06-10 11:00:00Z;61,30035;0;3
2019-06-11 11:00:00Z;60,26981;0;3
2019-06-12 11:00:00Z;56,55191;0;3
2019-06-13 11:00:00Z;53,87516;0;3
2019-06-14 11:00:00Z;52,15172;0;3
2019-06-15 11:00:00Z;49,14036;0;3
2019-06-16 11:00:00Z;45,42021;0;3
2019-06-17 11:00:00Z;44,11753;0;3
2019-06-18 11:00:00Z;47,08544;0;3
2019-06-19 11:00:00Z;52,00863;0;3
2019-06-20 11:00:00Z;49,65192;0;3
2019-06-21 11:00:00Z;48,99772;0;3
2019-06-22 11:00:00Z;63,84021;0;3
2019-06-23 11:00:00Z;72,22633;0;3
2019-06-24 11:00:00Z;67,22054;0;3
2019-06-25 11:00:00Z;62,30578;0;3
2019-06-26 11:00:00Z;58,16665;0;3
2019-06-27 11:00:00Z;53,20634;0;3
2019-06-28 11:00:00Z;49,29432;0;3
2019-06-29 11:00:00Z;45,73259;0;3
2019-06-30 11:00:00Z;46,62825;0;3
2019-07-01 11:00:00Z;68,04829;0;3
2019-07-02 11:00:00Z;78,26365;0;3
2019-07-03 11:00:00Z;91,00806;0;3
2019-07-04 11:00:00Z;99,37756;0;3
2019-07-05 11:00:00Z;91,59703;0;3
2019-07-06 11:00:00Z;78,58935;0;3
2019-07-07 11:00:00Z;68,67473;0;3
2019-07-08 11:00:00Z;59,94832;0;3
2019-07-09 11:00:00Z;53,46482;0;3
2019-07-10 11:00:00Z;48,04033;0;3
