#Hovefoss, 84.11.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2018-12-12 11:00:00Z;3,778707;0;3
2018-12-13 11:00:00Z;3,946026;0;3
2018-12-14 11:00:00Z;7,472651;0;3
2018-12-15 11:00:00Z;10,26993;0;3
2018-12-16 11:00:00Z;10,45408;0;3
2018-12-17 11:00:00Z;10,45791;0;3
2018-12-18 11:00:00Z;8,40084;0;3
2018-12-19 11:00:00Z;7,84116;0;3
2018-12-20 11:00:00Z;6,571524;0;3
2018-12-21 11:00:00Z;4,202404;0;3
2018-12-22 11:00:00Z;2,050158;0;3
2018-12-23 11:00:00Z;1,653527;0;3
2018-12-24 11:00:00Z;1,832182;0;3
2018-12-25 11:00:00Z;16,81647;0;3
2018-12-26 11:00:00Z;19,64639;0;3
2018-12-27 11:00:00Z;22,78175;0;3
2018-12-28 11:00:00Z;22,60415;0;3
2018-12-29 11:00:00Z;18,88983;0;3
2018-12-30 11:00:00Z;11,7149;0;3
2018-12-31 11:00:00Z;73,15765;0;3
2019-01-01 11:00:00Z;60,53786;0;3
2019-01-02 11:00:00Z;19,35995;0;3
2019-01-03 11:00:00Z;12,54792;0;3
2019-01-04 11:00:00Z;19,82833;0;3
2019-01-05 11:00:00Z;21,9301;0;3
2019-01-06 11:00:00Z;19,07845;0;3
2019-01-07 11:00:00Z;15,86209;0;3
2019-01-08 11:00:00Z;10,914;0;3
2019-01-09 11:00:00Z;7,682777;0;3
2019-01-10 11:00:00Z;9,0871;0;3
2019-01-11 11:00:00Z;16,94682;0;3
2019-01-12 11:00:00Z;9,234333;0;3
2019-01-13 11:00:00Z;6,660107;0;3
2019-01-14 11:00:00Z;5,692701;0;3
2019-01-15 11:00:00Z;5,852386;0;3
2019-01-16 11:00:00Z;5,40756;0;3
2019-01-17 11:00:00Z;5,067047;0;3
2019-01-18 11:00:00Z;5,336414;0;3
2019-01-19 11:00:00Z;5,608312;0;3
2019-01-20 11:00:00Z;5,644585;0;3
2019-01-21 11:00:00Z;6,481777;0;3
2019-01-22 11:00:00Z;6,71721;0;3
2019-01-23 11:00:00Z;6,390279;0;3
2019-01-24 11:00:00Z;6,04169;0;3
2019-01-25 11:00:00Z;5,685225;0;3
2019-01-26 11:00:00Z;4,986106;0;3
2019-01-27 11:00:00Z;4,627061;0;3
2019-01-28 11:00:00Z;4,814041;0;3
2019-01-29 11:00:00Z;5,281178;0;3
2019-01-30 11:00:00Z;4,590837;0;3
2019-01-31 11:00:00Z;3,789132;0;3
2019-02-01 11:00:00Z;3,072491;0;3
2019-02-02 11:00:00Z;2,530233;0;3
2019-02-03 11:00:00Z;2,257465;0;3
2019-02-04 11:00:00Z;2,514325;0;3
2019-02-05 11:00:00Z;2,22695;0;3
2019-02-06 11:00:00Z;1,964551;0;3
2019-02-07 11:00:00Z;3,69951;0;3
2019-02-08 11:00:00Z;3,923885;0;3
2019-02-09 11:00:00Z;3,384948;0;3
2019-02-10 11:00:00Z;2,695283;0;3
2019-02-11 11:00:00Z;2,057196;0;3
2019-02-12 11:00:00Z;2,338026;0;3
2019-02-13 11:00:00Z;20,78424;0;3
2019-02-14 11:00:00Z;32,29742;0;3
2019-02-15 11:00:00Z;33,71828;0;3
2019-02-16 11:00:00Z;26,80205;0;3
2019-02-17 11:00:00Z;17,1659;0;3
2019-02-18 11:00:00Z;29,49119;0;3
2019-02-19 11:00:00Z;31,25708;0;3
2019-02-20 11:00:00Z;16,37237;0;3
2019-02-21 11:00:00Z;15,99661;0;3
2019-02-22 11:00:00Z;24,92829;0;3
2019-02-23 11:00:00Z;31,67014;0;3
2019-02-24 11:00:00Z;37,19556;0;3
2019-02-25 11:00:00Z;22,61074;0;3
2019-02-26 11:00:00Z;18,86311;0;3
2019-02-27 11:00:00Z;18,95907;0;3
2019-02-28 11:00:00Z;14,76401;0;3
2019-03-01 11:00:00Z;9,746952;0;3
2019-03-02 11:00:00Z;7,211659;0;3
2019-03-03 11:00:00Z;7,004358;0;3
2019-03-04 11:00:00Z;7,354095;0;3
2019-03-05 11:00:00Z;5,581948;0;3
2019-03-06 11:00:00Z;4,918605;0;3
2019-03-07 11:00:00Z;4,597743;0;3
2019-03-08 11:00:00Z;4,191621;0;3
2019-03-09 11:00:00Z;3,486065;0;3
2019-03-10 11:00:00Z;3,164693;0;3
2019-03-11 11:00:00Z;2,677873;0;3
2019-03-12 11:00:00Z;2,687443;0;3
2019-03-13 11:00:00Z;2,266539;0;3
2019-03-14 11:00:00Z;2,178621;0;3
2019-03-15 11:00:00Z;2,094981;0;3
2019-03-16 11:00:00Z;2,210785;0;3
2019-03-17 11:00:00Z;2,134651;0;3
2019-03-18 11:00:00Z;1,83407;0;3
2019-03-19 11:00:00Z;1,67293;0;3
2019-03-20 11:00:00Z;4,241405;0;3
2019-03-21 11:00:00Z;29,32714;0;3
2019-03-22 11:00:00Z;22,24652;0;3
2019-03-23 11:00:00Z;36,62751;0;3
2019-03-24 11:00:00Z;19,79947;0;3
2019-03-25 11:00:00Z;12,72842;0;3
2019-03-26 11:00:00Z;8,819731;0;3
2019-03-27 11:00:00Z;10,40594;0;3
2019-03-28 11:00:00Z;23,84233;0;3
2019-03-29 11:00:00Z;95,65264;0;3
2019-03-30 11:00:00Z;51,02811;0;3
2019-03-31 11:00:00Z;20,39934;0;3
2019-04-01 11:00:00Z;13,1888;0;3
2019-04-02 11:00:00Z;9,610725;0;3
2019-04-03 11:00:00Z;7,774675;0;3
2019-04-04 11:00:00Z;7,458524;0;3
2019-04-05 11:00:00Z;9,362414;0;3
2019-04-06 11:00:00Z;10,70635;0;3
2019-04-07 11:00:00Z;9,809676;0;3
